Numer agenta,Firma/Nazwa,Zakład ubezpieczeń,Rodzaj agenta,Numer KRS,Miejscowość,Ulica i numer,Kod pocztowy,Numer NIP,Imię,DrugieImię,Nazwisko,PESEL,Data wpisu,Data zakończenia
10000000/A/300000,Facebook - Meta,PZU SA,osoba fizyczna,0000000008,Warszawa,os. Marszałkowska 1/1,00-590,1234805466,Anna,,Kowalska-Krawczyk,60021406849,19/09/2020,2015/17/05
10000001/A/300001,Polskie Przetwory sp z oo,PZU SA,osoba fizyczna,0000000105,Warszawa,ul Krakowskie Przedmieście 18,00-071,1234884655,Tomasz,Robert,Nowacki,61032108236,2024/25/10,15-06-2026
10000002/A/300002,Hurtownia Nabiału Mleczko sp. z o. o.,PZU SA,osoba fizyczna,0000000202,Kraków,ulica Floriańska 35,31-019,1234963840,Katarzyna,Agnieszka,Wiśniewska,62042809586,09-03-2019,2023-11-08
10000003/A/300003,Agencja Reklamowa Kreatywni Sp. z o.o.,ERGO HESTIA S.A.,przedsiębiorca,0000000299,Kraków,Długa 52,31-147,1235043030,Krzysztof,,Wójcik,63050710972,2022-22-11,20240402
10000004/A/300004,Kancelaria Prawna Sankcja SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000000396,Łódź,ul. Piotrkowska 69/53,90-102,1235122226,Ewa,Justyna,Kowalczyk,64061412321,20211126,14/09/2026
10000005/A/300005,Śląskie Zakłady Mechaniczne spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,przedsiębiorca,0000000493,Łódź,ul Zachodnia 86,90-402,1235201411,Adam,Jan,Kamiński,65072113717,28/11/2017,2023/01/04
10000006/A/300006,Fabryka Okien i Drzwi Profil Spółka z ograniczoną odpowiedzialnością,ERGO HESTIA S.A.,przedsiębiorca,0000000590,Wrocław,ulica Świdnicka 103,50-066,1235280600,Monika,,Lewandowska,66082815068,2022/16/05,21-06-2025
10000007/A/300007,Przedsiębiorstwo Robót Drogowych S.A.,Z AS,perzsiędbiorca,0000000687,Wrocław,Legnicka 120,54-203,1235359796,Marek,Marcin,Zieliński,67090716451,10-09-2016,2026-29-01
10000008/A/300008,Krakowskie Biuro Nieruchomości SA,ERGO HESTIA S.A.,przedsiębiorca,0000000784,Poznań,ul. Święty Marcin 137/15,61-806,1235438981,Barbara,Karolina,Szymańska,68101417802,2021-02-04,20260707
10000009/A/300009,Salon Samochodowy Auto-Hit S. A.,WARTA S.A.,osoba fizyczna,000000088,Poznań,ul Głogowska 154,60-734,1235518177,Rafał,,Dąbrowski,69112119190,20210105,03/10/2023
10000010/A/300010,Klinika Stomatologiczna Dent-Med Spółka Akcyjna,WARTA S.A.,przedsiębiorca,0000000978,Gdańsk,ulica Długa 171,80-831,1235597366,Aleksandra,Małgorzata,Mazur,70122820541,22/02/2025,2025/03/03
10000011/A/300011,Polski Tytoń sp. z o.o.,PZU SA,przedsiębiorca,0000001075,Gdańsk,Grunwaldzka 8,80-236,1235676551,Andrzej,Jakub,Krawczyk,71010721939,2021/16/10,10-04-2026
10000012/A/300012,Gdańska Stocznia Jachtowa sp z oo,UNIQA TU S.A.,przedsiębiorca,0000001172,Szczecin,ul. Jagiellońska 25/67,70-435,1235755747,Marta,,Woźniak,72021423289,30-01-2019,2025-21-06
10000013/A/300013,Wytwórnia Makaronu Jajecznego sp. z o. o.,PZU SA,przedsiebiorca,0000001269,Szczecin,ul Wyszyńskiego 42,70-200,1235834932,Łukasz,Artur,Jankowski,73032124675,2024-30-06,20160624
10000014/A/300014,Zakłady Mięsne Tradycja Sp. z o.o.,UNIQA TU S.A.,osoba fizyczna,0000001366,Katowice,ulica Mariacka 59,40-014,1235914128,Paulina,Iwona,Grabowska,74042826025,20250212,12/10/2023
10000015/A/300015,Spółdzielnia Mleczarska Radomsko SP Z O O,UNIQA TU S.A.,przedsiębiorca,0000001463,Katowice,Warszawska 76,40-009,1235993317,Mateusz,,Pawlak,75050727418,19/08/2021,2026/23/04
10000016/A/300016,Kancelaria Finansowo-Księgowa Bilans spółka z ograniczoną odpowiedzialnością,WARTA S.A.,przedsiębiorca,0000001560,Lublin,ul. Krakowskie Przedmieście 93/29,20-002,1236072507,Elżbieta,Renata,Michalska,76061428767,2021/16/06,12-01-2023
10000017/A/300017,Zarząd Nieruchomości Komercyjnych Spółka z ograniczoną odpowiedzialnością,WARTA S.A.,przedsiębiorca,0000001657,,ul Narutowicza 110,20-004,1236151690,Dawid,Maciej,Król,77072130157,,
10000018/A/300018,Polskie Linie Oceaniczne S.A.,ERGO HESTIA S.A.,osoba fizyczna,0000001754,Białystok,ulica Lipowa 127,15-424,1236230886,Dorota,,Wieczorek,78082831506,2025-13-10,20211103
10000019/A/300019,Hurtownia Materiałów Budowlanych Cegiełka SA,UNIQA TU S.A.,osoba fizyczna,0000001851,Białystok,Sienkiewicza 144,,1236310071,Dariusz,Zbigniew,Jabłoński,79090732890,20150509,10/12/2022
10000020/A/300020,PPHU Studio Projektowe Architektura,PZU SA,osoba fizyczna,0000001948,Bydgoszcz,ul. Gdańska 161/81,85-005,1236389262,Beata,Patrycja,Witkowska,80101434241,28/08/2025,2024/28/11
10000021/A/300021,Centrum Medycyny Pracy Spółka Akcyjna,ERGO HESTIA S.A.,osoba fizyczna,0000002045,Bydgoszcz,ul Dworcowa 178,85-009,1236468458,Sławomir,,Walczak,81112135637,2016/06/11,24-02-2024
10000022/A/300022,Przedsiębiorstwo Energetyki Cieplnej sp. z o.o.,PZU SA,przedsiębiorca,0000002142,Toruń,ulica Szeroka 15,87-100,1236547643,Urszula,Wiktoria,Stępień,82122836987,01-09-2019,2025-03-03
