Numer pracownika,Numer agenta,Nazwa zakładu ubezpieczeń,Nazwa agenta,Imię agenta,Nazwisko agenta,Numer NIP agenta,Numer KRS agenta,Imię,DrugieImię,Nazwisko,PESEL,Data wpisu,Data zakończenia
18461774/P/152762,10000000/A/300000,Facebook - Meta,Iwona Nowacka Studio Danych,Anna,Kowalska-Krawczyk,1234805466,0000000008,Anna,,Kowalska-Krawczyk,60021406849,27/11/2022,2015/17/05
80044022/P/419589,10000001/A/300001,Polskie Przetwory sp z oo,Michał Kamiński Konsulting,Tomasz,Nowacki,1234884655,0000000105,Tomasz,Robert,Nowacki,61032108236,2021/28/04,24-06-2016
16072223/P/210832,10000002/A/300002,Hurtownia Nabiału Mleczko sp. z o. o.,Justyna Kaczmarek Konsulting,Katarzyna,Wiśniewska,1234963840,0000000202,Katarzyna,Agnieszka,Wiśniewska,62042809586,18-04-2022,2024-30-09
92280086/P/368096,10000003/A/300003,Agencja Reklamowa Kreatywni Sp. z o.o.,Wojciech Pawłowski Konsulting,Krzysztof,Wójcik,1235043030,0000000299,Krzysztof,,Wójcik,63050710972,2018-26-12,20180810
12188684/P/493772,10000004/A/300004,Kancelaria Prawna Sankcja SP Z O O,Barbara Mazur Studio Danych,Ewa,Kowalczyk,1235122226,0000000396,Ewa,Justyna,Kowalczyk,64061412321,20180813,17/09/2019
30865052/P/867972,10000005/A/300005,Śląskie Zakłady Mechaniczne spółka z ograniczoną odpowiedzialnością,Patrycja Cieślicka Usługi Finansowe,Adam,Kamiński,1235201411,0000000493,Adam,Jan,Kamiński,65072113717,24/05/2021,2020/24/10
16590338/P/142399,10000006/A/300006,Fabryka Okien i Drzwi Profil Spółka z ograniczoną odpowiedzialnością,Paulina Kamińska Pośrednictwo,Monika,Lewandowska,1235280600,0000000590,Monika,,Lewandowska,66082815068,2021/01/08,01-06-2025
57189342/P/698938,10000007/A/300007,Przedsiębiorstwo Robót Drogowych S.A.,Marcin Kowalski Biuro Ubezpicezeń,Marek,Zieliński,1235359796,0000000687,Marek,Marcin,Zielińsik,67090716451,19-09-2022,2022-12-10
74986223/P/837224,10000008/A/300008,Krakowskie Biuro Nieruchomości SA,Monika Kwiatkowska Usługi Finansowe,Barbara,Szymańska,1235438981,000000078,Barbara,Karolina,Szymańska,68101417802,2018-12-01,20230117
41201309/P/282964,10000009/A/300009,Salon Samochodowy Auto-Hit S. A.,Ewa Duda Studio Danych,Rafał,Dąbrowski,1235518177,0000000881,Rafał,,Dąbrowski,69112119190,20180828,24/02/2024
