firma.id,firma.nazwa,firma.skroconaNazwa,firma.wlasciciel.imie,firma.wlasciciel.drugieImie,firma.wlasciciel.nazwisko,firma.wlasciciel.pesel,firma.nip,firma.regon,firma.dataRozpoczeciaDzialalnosci,firma.dataZawieszeniaDzialalnosci,firma.dataWznowieniaDzialalnosci,firma.przewazajacePKD,firma.adresDzialalnosci,firma.adresKorespondencyjny,firma.telefon,firma.email,firma.www
FIRMAID-00001,Facebook - Meta,Facebook - Meta,Anna,,Kowalska-Krawczyk,60021406849,1234805466,,2013-01-08,,2024-03-22,70.22.Z,"os. Marszałkowska 1/1, 00-590 Warszawa","os. Marszałkowska 1/1, 00-590 Warszawa",+48 651 641 499,anna.kowalska.krawczyk@gmail.com,
FIRMAID-00002,Polskie Przetwory sp z oo,Polskie Przetwory,Tomasz,Robert,Nowacki,61032108236,1234884655,,2020-01-21,,,64.19.Z,"ul Krakowskie Przedmieście 18, 00-071 Warszawa","ul Krakowskie Przedmieście 18, 00-071 Warszawa",756388594,t.nowacki@outlook.com,https://polskie-przetwory.eu
FIRMAID-00003,Hurtownia Nabiału Mleczko sp. z o. o.,Hurtownia Nabiału Mleczko,Katarzyna,Agnieszka,Wiśniewska,62042809586,1234963840,,2016-05-12,,,64.19.Z,"ulica Floriańska 35, 31-019 Kraków","ulica Floriańska 35, 31-019 Kraków",48-620-545-475,wisniewska.katarzyna@wp.pl,https://www.hurtownia-nabialu-mleczko-group.local
FIRMAID-00004,Agencja Reklamowa Kreatywni Sp. z o.o.,Agencja Reklamowa Kreatywni,Krzysztof,,Wójcik,63050710972,1235043030,,2024-11-13,2022-04-24,2021-07-10,43.22.Z,"Długa 52, 31-147 Kraków","Długa 52, 31-147 Kraków",576 289 815,krzysztofwojcik@onet.pl,https://www.agencja-reklamowa-kreatywni-group.pl
FIRMAID-00005,Kancelaria Prawna Sankcja SP Z O O,Kancelaria Prawna Sankcja,Ewa,Justyna,Kowalczyk,64061412321,1235122226,,2010-06-29,2025-01-04,2025-07-30,62.01.Z,"ul. Piotrkowska 69/53, 90-102 Łódź","ul. Piotrkowska 69/53, 90-102 Łódź",633858657,ewa_kowalczyk@interia.pl,https://www.kancelaria-prawnankcja-group.com.pl
FIRMAID-00006,Śląskie Zakłady Mechaniczne spółka z ograniczoną odpowiedzialnością,Śląskie Zakłady Mechaniczne,Adam,Jan,Kamiński,65072113717,1235201411,,2024-05-14,,2021-11-01,62.01.Z,"ul Zachodnia 86, 90-402 Łódź","ul Zachodnia 86, 90-402 Łódź",(48) 643750916,adam.kaminski75@o2.pl,https://www.slaskie-zaklady-mechaniczne.eu
FIRMAID-00007,Fabryka Okien i Drzwi Profil Spółka z ograniczoną odpowiedzialnością,Fabryka Okien i Drzwi Profil,Monika,,Lewandowska,66082815068,1235280600,,2011-01-05,,2026-10-06,64.19.Z,"ulica Świdnicka 103, 50-066 Wrocław","ulica Świdnicka 103, 50-066 Wrocław",+48 573 617 571,monika.lewandowska@proton.me,
FIRMAID-00008,Przedsiębiorstwo Robót Drogowych S.A.,Przedsiębiorstwo Robót Drgoowych,Marek,Marcin,Zieliński,67090716451,1235359796,,2015-08-15,,2022-06-21,70.22.Z,"Legnicka 120, 54-203 Wrocław","Legnicka 120, 54-203 Wrocław",797779600,m.zielinski@yahoo.com,https://www.przedsiebiorstwo-robot-drogowych-group.pl
FIRMAID-00009,Krakowskie Biuro Nieruchomości SA,Krakowskie Biuro Nieruchomości,Barbara,Karolina,Szymańska,68101417802,1235438981,,2018-05-31,,,43.22.Z,"ul. Święty Marcin 137/15, 61-806 Poznań","ul. Święty Marcin 137/15, 61-806 Poznań",+48 747 985 588,szymanska.barbara@gmail.com,https://www.krakowskie-biuro-nieruchomosci-group.com.pl
FIRMAID-00010,Salon Samochodowy Auto-Hit S. A.,Salon Samochodowy Auto-Hit,Rafał,,Dąbrowski,69112119190,1235518177,,2025-05-21,,2024/15/09,43.22.Z,"ul Głogowska 154, 60-734 Poznań","ul Głogowska 154, 60-734 Poznań",796 657 011,rafaldabrowski@outlook.com,https://www.salonmochodowy-auto-hit-group.eu
FIRMAID-00011,Klinika Stomatologiczna Dent-Med Spółka Akcyjna,Klinika Stomatologiczna Dent-Med,Aleksandra,Małgorzata,Mazur,70122820541,1235597366,,2010-09-04,,2022-10-06,64.19.Z,"ulica Długa 171, 80-831 Gdańsk","ulica Długa 171, 80-831 Gdańsk",+48 630 618 289,aleksandra_mazur@wp.pl,https://www.klinika-stomatologiczna-dent-med.local
FIRMAID-00012,Polski Tytoń sp. z o.o.,Polski Tytoń,Andrzej,Jakub,Krawczyk,71010721939,1235676551,,2010-10-16,20270302,,62.01.Z,"Grunwaldzka 8, 80-236 Gdańsk","Grunwaldzka 8, 80-236 Gdańsk",536 504 415,andrzej.krawczyk81@onet.pl,https://polski-tyton.pl
