PESEL,Imie,DrugieImie,Nazwisko,NazwiskoRodowe,DataUrodzenia,Plec,MiejsceUrodzenia,Obywatelstwo,ImieOjca,ImieMatki,AdresZameldowania,AdresKorespondencyjny,NumerDowoduOsobistego,NumerPaszportu,Telefon,Email
60021406849,Anna,,Kowalska-Krawczyk,Kowalska,1960-14-02,K,Kraków,PL,Krzysztof,Agnieszka,"os. Marszałkowska 1/1, 00-590 Warszawa","os. Marszałkowska 1/1, 00-590 Warszawa",,PL4755810,+48 655 775 891,anna.kowalska.krawczyk@gmail.com
61032108236,Tomasz,Robert,Nowacki,,19610321,M,Zielona Góra,PL,Paweł,Barbara,"ul Krakowskie Przedmieście 18, 00-071 Warszawa","ul Krakowskie Przedmieście 18, 00-071 Warszawa",ONV883946,,502 693 570,t.nowacki@outlook.com
62042809586,Katarzyna,Agnieszka,Wiśniewska,Krawczyk,28/04/1962,K,Gdańsk,PL,Adam,Justyna,"ulica Floriańska 35, 31-019 Kraków","ulica Floriańska 35, 31-019 Kraków",RSG860489,,+48 730 415 891,wisniewska.katarzyna@wp.pl
63050710972,Krzysztof,,Wójcik,,1963/07/05,M,Kielce,PL,Robert,Anna,"Długa 52, 31-147 Kraków","Długa 52, 31-147 Kraków",UXR537032,,+48 585 442 911,krzysztofwojcik@onet.pl
64061412321,Ewa,Justyna,Kowalczyk,Jankowska,14-06-1964,K,Bydgoszcz,PL,Marek,Maria,"ul. Piotrkowska 69/53, 90-102 Łódź","ul. Piotrkowska 69/53, 90-102 Łódź",XCC413575,PL1213488,48-750-561-231,ewa_kowalczyk@interia.pl
65072113717,Adam,Piotr,Kamiński,,1965-21-07,M,Szczecin,PL,Wojciech,Katarzyna,"ul Zachodnia 86, 90-402 Łódź","ul Zachodnia 86, 90-402 Łódź",AHN990118,P3474580,+48 610 753 777,adam.kaminski75@o2.pl
66082815068,Monika,,Lewandowska,,19660828,K,Olsztyn,PL,Rafał,Joanna,"ulica Świdnicka 103, 50-066 Wrocław","ulica Świdnicka 103, 50-066 Wrocław",DMY266661,,637891891,monika.lewandowska@proton.me
67090716451,Marek,Michał,Zielisńki,,07/09/1967,M,pOol,PL,Piotr,Ewa,"Legnicka 120, 54-203 Wrocław","Legnicka 120, 54-203 Wrocław",GRJ343204,,658 959 238,m.zielinski@yahoo.com
68101417802,Barbara,Joanna,Szymańska,Król,1968/14/10,K,Łódź,PL,Tomasz,Magdalena,"ul. Święty Marcin 137/15, 61-806 Poznań","ul. Święty Marcin 137/15, 61-806 Poznań",,P3404168,+48 748 222 893,szymanska.barbara@gmail.com
79112119190,Rafał,,Dąbrowski,,21-11-1969,M,Toruń,PL,Michał,Monika,"ul Głogowska 154, 60-734 Poznań","ul Głogowska 154, 60-734 Poznań",MBF896290,PA4390829,48-767-186-359,rafaldabrowski@outlook.com
70122820541,Anna,Magdalena,Mazur,Jabłońska,1970-28-12,K,Wrocław,PL,Krzysztof,Agnieszka,"ulica Długa 171, 80-831 Gdańsk","ulica Długa 171, 80-831 Gdańsk",PGQ272833,,624 981 029,anna_mazur@wp.pl
71010721939,Tomasz,Robert,Krawczyk,,19710107,M,Lublin,PL,Paweł,Barbara,"Grunwaldzka 8, 80-236 Gdańsk","Grunwaldzka 8, 80-236 Gdańsk",SLB549376,,48-648-771-123,tomasz.krawczyk81@onet.pl
72021423289,Katarzyna,,Woźniak,,14/02/1972,K,Warszawa,PL,Adam,Justyna,"ul. Jagiellońska 25/67, 70-435 Szczecin","ul. Jagiellońska 25/67, 70-435 Szczecin",VQM925919,P8508672,48-522-351-266,katarzyna.wozniak@interia.pl
73032124675,Krzysztof,Wojciech,Jankowski,,1973/21/03,M,Krakow,PL,Robert,Anna,"ul Wyszyńskiego 42, 70-200 Szczecin","ul Wyszyńskiego 42, 70-200 Szczecin",YVX202462,,48-517-681-696,k.jankowski@o2.pl
74042826025,Ewa,Justyna,Grabowska,Baran,28-04-1974,K,Gdańsk,PL,Marek,Maria,"ulica Mariacka 59, 40-014 Katowice","ulica Mariacka 59, 40-014 Katowice",BAI679005,,48-597-944-002,grabowska.ewa@proton.me
