regon,nip,krs,nazwa,formaPrawna,formaWlasnosci,adresSiedziby,wojewodztwo,powiat,gmina,miejscowosc,kodPocztowy,telefon,email,stronaWWW,pkd,dataPowstania
417618697,5054944263,,IWONA NOWACKA STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"Bałtycka 136/11, 66-157 Bydgoszcz",ŚWIĘTOKRZYSKIE,KIELCE,KIELCE,KIELCE,13-860,+48 604 982 435,biuro0@example.test,https://www.podmiot0.example.test,62.01.Z,2018-01-06
563454216,8987696287,0000764271,Optima Trade spółka z ograniczoną odpowiedzialnością,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Leśna 108, 88-143 Rzeszów",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,38-695,(48) 517103908,biuro1@example.test,,66.22.Z,2018-09-16
068204468,9900025945,,JUSTYNA KACZMAREK KONSULTING,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"82-801 Kraków, ul Bałtycka 152",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,28-830,576896363,biuro2@example.test,https://www.podmiot2.example.test,64.99.Z,2020-10-05
302796519,2713168532,,WOJCIECH PAWŁOWSKI KONSULTING,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"Głogowska 124/17, 01-503 Poznań",MAŁOPOLSKIE,KRAKÓW,KRAKÓW,KRAKÓW,18-174,545446693,biuro3@example.test,,66.22.Z,2014-07-16
039562130,2456738676,,BARBARA MAZUR STUDIO DANYCH,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"ul. Kościuszki 97, 56-275 Kraków",LUBELSKIE,LUBLIN,LUBLIN,LUBLIN,19-702,643 770 548,biuro4@example.test,,66.22.Z,2011-05-18
509571734,5569290049,,PATRYCJA CIEŚLICKA USŁUGI FINANSOWE,osoba fizyczna prowadząca działalność gospodarczą,własność prywatna krajowa,"19-254 Lublin, ul Portowa 66 m. 36",POMORSKIE,GDYNIA,GDYNIA,GDYNIA,70-602,+48 586 247 597,biuro5@example.test,https://www.podmiot5.example.test,64.99.Z,2025-12-30
781512152,6328552749,,PAULINA KAMIŃSKA POŚREDNICTWO,osoba fizyczna prowadząca działalność gospodarczą,własność krajowa osób fizycznych,"83-814 Opole, ul Wiosenna 108",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,02-506,+48 731 245 100,biuro6@example.test,,66.22.Z,2013-12-03
910962045,6674571408,0000251643,VISTULA FINTECH S.A.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Topolowa 28, 60-220 Bydgoszcz",KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,BYDGOSZCZ,58-977,+48 552 462 002,biuro7@example.test,https://www.podmiot7.example.test,64.99.Z,2011-12-26
996093533,8440543074,0000456371,ASTRA FINANCE HOLDING SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Leśna 135/54, 72-274 Gdynia",POMORSKIE,GDYNIA,GDYNIA,GDYNIA,08-305,770 988 254,biuro8@example.test,https://www.podmiot8.example.test,66.22.Z,2011-05-14
489228218,9145101785,0000766715,BALTIC MED SUPPLY FINANSE S.A.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Kościuszki 175/19, 87-832 Toruń",KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,TORUŃ,08-678,574874172,biuro9@example.test,https://www.podmiot9.example.test,66.22.Z,2023-01-04
574346981,4808329192,0000929318,Amber Payments Spółka Akcyjna,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Łąkowa 64, 22-227 Szczecin",ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,SZCZECIN,68-216,609 257 501,biuro10@example.test,https://www.podmiot10.example.test,64.99.Z,2023-02-24
019346413,6430958217,0000834200,SILESIA INVEST SERVICES SP. Z O.O.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"13-980 Gdynia, ul Łąkowa 140",POMORSKIE,GDYNIA,GDYNIA,GDYNIA,01-494,+48 700 241 819,biuro11@example.test,https://www.podmiot11.example.test,62.02.Z,2011-09-25
212393478,6941900928,0000443167,POLARIS CAPITAL TECHNOLOGIE SP Z OO,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Wiosenna 97/79, 85-768 Katowice",ŚLĄSKIE,KATOWICE,KATOWICE,KATOWICE,74-243,+48 577 193 800,biuro12@example.test,https://www.podmiot12.example.test,66.22.Z,2025-11-29
888680955,2020822752,0000072879,Baltic Med Supply sp. z o.o.,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ulica Wiosenna 102, 22-973 Rzeszów",PODKARPACKIE,RZESZÓW,RZESZÓW,RZESZÓW,07-790,(48) 571618550,biuro13@example.test,https://www.podmiot13.example.test,66.22.Z,2010-11-17
369745702,0178645385,0000756311,Silesia Invest sp. z o.o.,spółka z ograniczoną odpowiedzialnością,własność krajowa osób fizycznych,"ulica Topolowa 50, 81-651 Łódź",ŁÓDZKIE,ŁÓDŹ,ŁÓDŹ,ŁÓDŹ,10-887,+48 537 312 970,biuro14@example.test,https://www.podmiot14.example.test,62.02.Z,2020-09-09
076325616,5903971156,0000861168,SILESIA INVEST HOLDING SPÓŁKA AKCYJNA,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"Jarzębinowa 54, 47-766 Kraków",MAŁOPOLSKIE,KRAKÓW,KRAKÓW,KRAKÓW,01-509,644415144,biuro15@example.test,,62.01.Z,2015-09-06
689513390,1204187271,0000906977,POLARIS CAPITAL SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"17-922 Olsztyn, ul Srebrna 102",WARMIŃSKO-MAZURSKIE,OLSZTYN,OLSZTYN,OLSZTYN,66-280,+48 738 131 700,biuro16@example.test,https://www.podmiot16.example.test,66.22.Z,2020-04-07
041347430,0171916119,0000347545,LUMEN ADVISORY SP Z O O,spółka z ograniczoną odpowiedzialnością,własność prywatna krajowa,"ul. Krótka 28, 82-986 Białystok",PODLASKIE,BIAŁYSTOK,BIAŁYSTOK,BIAŁYSTOK,39-781,642892372,biuro17@example.test,https://www.podmiot17.example.test,64.99.Z,2011-07-13
