name,nip,statusVat,regon,pesel,krs,residenceAddress,workingAddress,accountNumbers,hasVirtualAccounts,registrationLegalDate,removalDate
Astra Finance sp. z o.o.,1234805466,Czynny,234963846,65060606843,0000000003,"os. Marszałkowska 1/1, 00-590 Warszawa","os. Marszałkowska 1/1, 00-590 Warszawa",13326270248233305893236880,False,2018-03-06,
Baltic Med Supply sp z oo,1234884655,Czynny,235043036,66070708239,0000000100,"ul Krakowskie Przedmieście 18, 00-071 Warszawa","ul Krakowskie Przedmieście 18, 00-071 Warszawa",04521401942858273810051846,False,2023-03-03,2021-08-23
Helios Markets sp. z o. o.,1234963840,Czynny,235122221,67080809587,0000000197,"ulica Floriańska 35, 31-019 Kraków","ulica Floriańska 35, 31-019 Kraków",14851461196894955594913303,True,2024-12-29,
Lumen Advisory Sp. z o.o.,1235043030,Wykreślony,235201417,68090910975,0000000294,"Długa 52, 31-147 Kraków","Długa 52, 31-147 Kraków",28155640451735815624364698,False,2015-11-04,2022-12-17
Nova Data SP Z O O,1235122226,Wykreślony,235280606,69101012325,0000000391,"ul. Piotrkowska 69/53, 90-102 Łódź","ul. Piotrkowska 69/53, 90-102 Łódź",58832676109275201080501172,False,2025-06-03,2024-06-01
Optima Trade spółka z ograniczoną odpowiedzialnością,1235201411,Wykreślony,235359791,70111113719,0000000488,"ul Zachodnia 86, 90-402 Łódź","ul Zachodnia 86, 90-402 Łódź",15583899266966632022015674,True,2024-02-26,
Polaris Capital Spółka z ograniczoną odpowiedzialnością,1235280600,Czynny,235438987,71121215068,0000000585,"ulica Świdnicka 103, 50-066 Wrocław","ulica Świdnicka 103, 50-066 Wrocław",75269041247646653999029120,False,2019-11-30,2020-01-25
Quantum Services S.A.,1235359796,Cyznny,235518172,72011316458,0000000682,"Legnicka 120, 54-203 Wrocław","Legnicka 120, 54-203 Wrocław",51903758900026900403365383,True,2016-06-17,2021-08-11
Silesia Invest SA,1235438981,Czynny,235597361,73021417805,0000000779,"ul. Święty Marcin 137/15, 61-806 Poznań","ul. Święty Marcin 137/15, 61-806 Poznań",15107773585418382603168375,False,2022-09-21,2021-11-13
Vistula Fintech S. A.,1235518177,Czynny,235676557,74031519192,0000000876,"ul Głogowska 154, 60-734 Poznań","ul Głogowska 154, 60-734 Poznań",89 7586 6823 3611 8170 6680 9300,False,2021-05-13,
Astra Finance Spółka Akcyjna,1235597366,Wykreślony,235755742,75041620542,0000000973,"ulica Długa 171, 80-831 Gdańsk","ulica Długa 171, 80-831 Gdańsk",71 7016 3704 6826 7545 5756 4895,True,2018-12-28,
Baltic Med Supply sp. z o.o.,1235676551,Czynny,235834938,76051721937,0000001070,"Grunwaldzka 8, 80-236 Gdańsk","Grunwaldzka 8, 80-236 Gdańsk",64 4746 5102 7161 4753 4529 6928,True,2018-02-10,
Helios Markets sp z oo,1235755747,Zwolniony,235914123,77061823286,0000001167,"ul. Jagiellońska 25/67, 70-435 Szczecin","ul. Jagiellońska 25/67, 70-435 Szczecin",99 1569 9804 8938 4118 9245 2139,False,2018-10-16,
